,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_cccp,cluster,period
0,AFGHANISTAN,AFG,35.12,71.28,84.64,0,1946-1991
1,ANGOLA,AGO,17.42,72.49,78.99,0,1946-1991
2,ALBANIA,ALB,14.8,61.22,58.13,0,1946-1991
3,UNITED ARAB EMIRATES,ARE,35.93,77.36,83.59,0,1946-1991
4,ARGENTINA,ARG,47.41,73.82,78.05,0,1946-1991
5,ANTIGUA AND BARBUDA,ATG,24.04,58.73,62.57,0,1946-1991
8,BURUNDI,BDI,37.87,76.41,83.72,0,1946-1991
10,BENIN,BEN,31.99,73.71,81.41,0,1946-1991
11,UPPER VOLTA,BFA,36.44,73.29,78.75,0,1946-1991
12,BANGLADESH,BGD,35.56,79.15,82.22,0,1946-1991
13,BULGARIA,BGR,33.03,70.94,96.67,0,1946-1991
14,BAHRAIN,BHR,36.18,77.75,83.31,0,1946-1991
15,BAHAMAS,BHS,33.0,71.87,70.5,0,1946-1991
16,BYELORUSSIAN SSR,BLR,33.16,71.82,98.64,0,1946-1991
18,BOLIVIA,BOL,43.94,71.9,72.6,0,1946-1991
19,BRAZIL,BRA,50.18,76.35,75.47,0,1946-1991
20,BARBADOS,BRB,37.47,71.93,74.99,0,1946-1991
21,BRUNEI DARUSSALAM,BRN,31.44,86.75,84.32,0,1946-1991
22,BHUTAN,BTN,34.04,75.83,79.93,0,1946-1991
23,BOTSWANA,BWA,31.26,70.94,73.96,0,1946-1991
24,CENTRAL AFRICAN REPUBLIC,CAF,38.78,65.72,68.45,0,1946-1991
26,CHILE,CHL,50.97,69.21,68.95,0,1946-1991
27,CHINA,CHN,40.45,100.0,71.77,0,1946-1991
28,IVORY COAST,CIV,44.52,67.44,68.54,0,1946-1991
29,CAMEROON,CMR,40.64,72.87,77.52,0,1946-1991
30,ZAIRE,COD,41.35,68.88,71.4,0,1946-1991
31,CONGO,COG,30.97,69.76,77.9,0,1946-1991
32,COLOMBIA,COL,47.37,72.97,73.38,0,1946-1991
34,CAPE VERDE,CPV,23.37,73.96,79.31,0,1946-1991
36,CZECHOSLOVAKIA,CSK,34.01,70.24,96.75,0,1946-1991
37,CUBA,CUB,35.91,73.99,87.38,0,1946-1991
38,CYPRUS,CYP,37.73,73.44,83.54,0,1946-1991
39,GERMAN DEMOCRATIC REPUBLIC,DDR,27.31,75.77,99.3,0,1946-1991
41,DJIBOUTI,DJI,29.06,78.03,77.42,0,1946-1991
45,ALGERIA,DZA,29.62,75.8,86.05,0,1946-1991
46,TANGANYIKA,EAT,40.43,60.38,74.19,0,1946-1991
48,ECUADOR,ECU,45.91,73.95,76.9,0,1946-1991
49,EGYPT,EGY,41.56,75.3,80.98,0,1946-1991
52,ETHIOPIA,ETH,40.09,75.06,83.61,0,1946-1991
54,FIJI,FJI,37.63,68.69,71.42,0,1946-1991
57,GABON,GAB,37.58,73.04,73.83,0,1946-1991
60,GHANA,GHA,39.6,73.53,81.41,0,1946-1991
61,GUINEA,GIN,33.59,73.56,81.63,0,1946-1991
62,GAMBIA,GMB,25.93,62.6,61.15,0,1946-1991
63,GUINEA-BISSAU,GNB,27.36,71.54,76.83,0,1946-1991
68,GUYANA,GUY,36.7,75.24,82.77,0,1946-1991
71,HUNGARY,HUN,32.31,69.91,95.84,0,1946-1991
72,INDONESIA,IDN,40.82,75.26,84.08,0,1946-1991
73,INDIA,IND,41.36,74.43,82.46,0,1946-1991
75,IRAN (ISLAMIC REPUBLIC OF),IRN,42.87,74.22,79.7,0,1946-1991
76,IRAQ,IRQ,36.02,75.78,82.67,0,1946-1991
80,JAMAICA,JAM,39.5,72.31,75.63,0,1946-1991
81,JORDAN,JOR,39.29,75.24,80.59,0,1946-1991
83,KENYA,KEN,37.86,74.81,81.27,0,1946-1991
84,DEMOCRATIC KAMPUCHEA,KHM,29.09,67.81,60.21,0,1946-1991
87,KUWAIT,KWT,34.9,75.86,82.32,0,1946-1991
88,LAOS,LAO,33.96,71.27,83.6,0,1946-1991
89,LEBANON,LBN,39.66,70.26,74.2,0,1946-1991
90,LIBERIA,LBR,46.73,68.96,69.27,0,1946-1991
91,LIBYAN ARAB JAMAHIRIYA,LBY,32.37,75.14,82.46,0,1946-1991
92,SAINT LUCIA,LCA,27.98,63.08,63.25,0,1946-1991
94,SRI LANKA,LKA,39.05,75.52,81.11,0,1946-1991
95,LESOTHO,LSO,36.16,69.18,72.97,0,1946-1991
99,MOROCCO,MAR,39.64,75.76,78.42,0,1946-1991
100,MADAGASCAR,MDG,36.64,75.46,83.98,0,1946-1991
101,MALDIVE ISLANDS,MDV,28.47,72.71,71.56,0,1946-1991
102,MEXICO,MEX,46.71,76.2,81.6,0,1946-1991
104,MALI,MLI,35.23,74.51,83.74,0,1946-1991
105,MALTA,MLT,36.63,68.13,72.1,0,1946-1991
106,BURMA,MMR,40.35,72.26,75.84,0,1946-1991
107,MONGOLIA,MNG,30.29,72.72,96.54,0,1946-1991
108,MOZAMBIQUE,MOZ,22.52,75.96,85.21,0,1946-1991
109,MAURITANIA,MRT,38.67,75.39,81.23,0,1946-1991
110,MAURITIUS,MUS,32.54,70.7,73.32,0,1946-1991
112,MALAYSIA,MYS,44.04,79.04,81.96,0,1946-1991
113,NAMIBIA,NAM,34.48,89.24,74.05,0,1946-1991
114,NIGER,NER,40.12,75.43,77.96,0,1946-1991
115,NIGERIA,NGA,37.69,75.49,81.43,0,1946-1991
116,NICARAGUA,NIC,41.95,70.17,73.52,0,1946-1991
119,NEPAL,NPL,40.99,73.56,78.2,0,1946-1991
121,OMAN,OMN,36.5,78.11,79.69,0,1946-1991
122,PAKISTAN,PAK,45.48,77.1,81.03,0,1946-1991
123,PANAMA,PAN,46.05,69.82,72.2,0,1946-1991
124,PERU,PER,47.33,75.69,78.47,0,1946-1991
125,PHILIPPINES,PHL,49.28,77.94,79.53,0,1946-1991
126,PAPUA NEW GUINEA,PNG,35.5,69.85,73.72,0,1946-1991
127,POLAND,POL,35.44,70.25,95.21,0,1946-1991
131,QATAR,QAT,35.95,76.61,81.43,0,1946-1991
132,ROMANIA,ROU,37.06,72.7,85.7,0,1946-1991
133,RWANDA,RWA,39.4,73.7,79.3,0,1946-1991
134,SAUDI ARABIA,SAU,37.39,73.15,78.13,0,1946-1991
135,SUDAN,SDN,37.64,74.71,80.01,0,1946-1991
136,SENEGAL,SEN,41.43,76.66,81.56,0,1946-1991
137,SINGAPORE,SGP,40.92,72.75,74.05,0,1946-1991
139,SIERRA LEONE,SLE,38.13,74.81,78.87,0,1946-1991
141,SOMALIA,SOM,37.51,73.68,76.19,0,1946-1991
142,SAO TOME AND PRINCIPE,STP,22.76,73.32,78.99,0,1946-1991
143,USSR,SUN,33.99,71.77,100.0,0,1946-1991
144,SURINAME,SUR,34.13,75.28,77.08,0,1946-1991
146,SWAZILAND,SWZ,35.9,61.89,63.81,0,1946-1991
147,SEYCHELLES,SYC,12.07,55.71,59.34,0,1946-1991
148,SYRIA,SYR,34.55,75.12,83.61,0,1946-1991
149,CHAD,TCD,39.37,73.59,76.69,0,1946-1991
150,TOGO,TGO,41.11,75.65,81.76,0,1946-1991
151,THAILAND,THA,47.86,76.28,77.64,0,1946-1991
152,TRINIDAD AND TOBAGO,TTO,38.99,76.7,80.04,0,1946-1991
153,TUNISIA,TUN,41.94,76.12,83.1,0,1946-1991
154,TURKEY,TUR,55.92,72.7,70.2,0,1946-1991
155,UNITED REPUBLIC OF TANZANIA,TZA,34.51,75.93,84.07,0,1946-1991
156,UGANDA,UGA,35.15,74.07,82.46,0,1946-1991
157,UKRAINIAN SSR,UKR,33.24,72.23,98.56,0,1946-1991
158,URUGUAY,URY,51.18,71.5,71.95,0,1946-1991
161,VENEZUELA,VEN,47.22,74.56,78.78,0,1946-1991
162,VIET NAM,VNM,19.21,77.53,90.74,0,1946-1991
163,VANUATU,VUT,23.24,64.38,70.63,0,1946-1991
164,SAMOA,WSM,34.02,65.13,62.63,0,1946-1991
165,YEMEN,YEM,32.49,70.45,78.46,0,1946-1991
166,DEMOCRATIC YEMEN,YMD,29.76,75.03,86.46,0,1946-1991
167,YUGOSLAVIA,YUG,39.84,74.51,86.14,0,1946-1991
169,ZAMBIA,ZMB,36.74,76.86,83.47,0,1946-1991
170,ZIMBABWE,ZWE,23.62,74.14,78.25,0,1946-1991
42,DOMINICA,DMA,12.37,24.12,19.91,1,1946-1991
47,ZANZIBAR,EAZ,0.0,0.0,0.0,1,1946-1991
168,UNION OF SOUTH AFRICA,ZAF,20.23,17.57,6.17,1,1946-1991
6,AUSTRALIA,AUS,63.6,55.46,54.56,2,1946-1991
7,AUSTRIA,AUT,59.48,54.3,57.0,2,1946-1991
9,BELGIUM,BEL,73.95,46.73,44.17,2,1946-1991
17,BELIZE,BLZ,22.09,52.31,52.54,2,1946-1991
25,CANADA,CAN,71.85,50.16,45.67,2,1946-1991
33,COMOROS,COM,23.04,58.6,56.1,2,1946-1991
35,COSTA RICA,CRI,47.1,65.58,65.16,2,1946-1991
40,GERMANY,DEU,62.71,51.16,56.92,2,1946-1991
43,DENMARK,DNK,66.43,53.35,52.25,2,1946-1991
44,DOMINICAN REPUBLIC,DOM,47.0,65.77,64.8,2,1946-1991
50,SPAIN,ESP,59.45,58.0,57.71,2,1946-1991
51,ESTONIA,EST,50.0,42.65,54.41,2,1946-1991
53,FINLAND,FIN,53.33,53.92,60.27,2,1946-1991
55,FRANCE,FRA,72.81,42.07,41.14,2,1946-1991
56,MICRONESIA (FEDERATED STATES OF),FSM,35.71,62.16,54.79,2,1946-1991
58,UNITED KINGDOM,GBR,81.6,42.67,39.03,2,1946-1991
59,"GERMANY, FEDERAL REPUBLIC OF",GER,75.0,37.57,36.7,2,1946-1991
64,EQUATORIAL GUINEA,GNQ,25.29,52.75,51.73,2,1946-1991
65,GREECE,GRC,58.84,64.02,66.18,2,1946-1991
66,GRENADA,GRD,26.04,53.68,52.74,2,1946-1991
67,GUATEMALA,GTM,48.79,61.4,59.83,2,1946-1991
69,HONDURAS,HND,46.04,66.93,64.18,2,1946-1991
70,HAITI,HTI,40.16,63.61,62.72,2,1946-1991
74,IRELAND,IRL,61.36,54.86,54.91,2,1946-1991
77,ICELAND,ISL,60.25,55.14,52.55,2,1946-1991
78,ISRAEL,ISR,63.38,41.26,36.03,2,1946-1991
79,ITALY,ITA,71.88,46.68,46.13,2,1946-1991
82,JAPAN,JPN,63.48,52.22,50.41,2,1946-1991
85,SAINT CHRISTOPHER AND NEVIS,KNA,20.09,40.61,40.42,2,1946-1991
86,REPUBLIC OF KOREA,KOR,46.43,68.49,60.27,2,1946-1991
93,LIECHTENSTEIN,LIE,40.68,49.34,57.52,2,1946-1991
96,LITHUANIA,LTU,53.57,52.24,62.69,2,1946-1991
97,LUXEMBOURG,LUX,71.45,47.29,43.78,2,1946-1991
98,LATVIA,LVA,50.0,45.45,50.0,2,1946-1991
103,MARSHALL ISLANDS,MHL,53.57,55.41,60.27,2,1946-1991
111,MALAWI,MWI,41.42,52.68,51.83,2,1946-1991
117,NETHERLANDS,NLD,71.54,50.37,46.07,2,1946-1991
118,NORWAY,NOR,63.83,55.01,54.92,2,1946-1991
120,NEW ZEALAND,NZL,63.98,56.22,54.61,2,1946-1991
128,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,30.77,77.78,47.89,2,1946-1991
129,PORTUGAL,PRT,59.25,50.57,49.88,2,1946-1991
130,PARAGUAY,PRY,47.29,56.3,51.0,2,1946-1991
138,SOLOMON ISLANDS,SLB,19.1,48.95,46.63,2,1946-1991
140,EL SALVADOR,SLV,45.13,63.71,62.51,2,1946-1991
145,SWEDEN,SWE,60.01,55.83,57.63,2,1946-1991
159,UNITED STATES,USA,100.0,40.45,33.99,2,1946-1991
160,SAINT VINCENT AND THE GRENADINES,VCT,20.86,53.31,51.53,2,1946-1991
