,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
80,UNITED STATES,USA,100.0,38.05,54.58,1,1991-2025,
81,SAMOA,WSM,55.56,62.28,61.99,1,1991-2025,
82,AFGHANISTAN,AFG,37.35,70.28,59.18,2,1991-2025,
83,ANGOLA,AGO,36.76,74.53,64.21,2,1991-2025,
84,UNITED ARAB EMIRATES,ARE,44.55,87.82,72.22,2,1991-2025,
85,ARMENIA,ARM,54.63,71.42,76.86,2,1991-2025,
86,ANTIGUA AND BARBUDA,ATG,45.43,76.4,67.34,2,1991-2025,
87,AZERBAIJAN,AZE,43.89,77.25,73.3,2,1991-2025,
88,BURUNDI,BDI,31.96,65.48,56.54,2,1991-2025,
89,BENIN,BEN,39.98,72.36,62.43,2,1991-2025,
90,BURKINA FASO,BFA,40.89,82.03,68.55,2,1991-2025,
91,BANGLADESH,BGD,46.49,87.24,72.86,2,1991-2025,
92,BAHRAIN,BHR,45.96,87.95,72.62,2,1991-2025,
93,BAHAMAS,BHS,54.1,77.99,70.68,2,1991-2025,
94,BELARUS,BLR,44.25,79.36,81.31,2,1991-2025,
95,BELIZE,BLZ,48.95,78.57,68.73,2,1991-2025,
96,BOLIVIA (PLURINATIONAL STATE OF),BOL,46.56,81.23,71.68,2,1991-2025,
97,BRAZIL,BRA,52.15,82.94,71.79,2,1991-2025,
98,BARBADOS,BRB,51.73,80.18,70.85,2,1991-2025,
99,BRUNEI DARUSSALAM,BRN,44.98,88.8,73.33,2,1991-2025,
100,BHUTAN,BTN,39.7,77.04,66.27,2,1991-2025,
101,BOTSWANA,BWA,48.53,78.79,68.34,2,1991-2025,
102,CHILE,CHL,59.33,83.18,71.89,2,1991-2025,
103,CHINA,CHN,38.05,100.0,76.01,2,1991-2025,
104,CÔTE D'IVOIRE,CIV,47.47,74.07,63.95,2,1991-2025,
105,CAMEROON,CMR,43.07,65.31,56.82,2,1991-2025,
106,CONGO,COG,34.04,68.47,58.33,2,1991-2025,
107,COLOMBIA,COL,48.95,81.53,71.95,2,1991-2025,
108,CABO VERDE,CPV,43.5,76.72,65.63,2,1991-2025,
109,COSTA RICA,CRI,60.13,77.31,69.97,2,1991-2025,
110,CUBA,CUB,32.75,87.25,72.2,2,1991-2025,
111,DJIBOUTI,DJI,43.67,84.68,70.68,2,1991-2025,
112,DOMINICAN REPUBLIC,DOM,48.32,71.24,64.23,2,1991-2025,
113,ALGERIA,DZA,38.86,88.88,73.03,2,1991-2025,
114,ECUADOR,ECU,50.38,83.6,73.61,2,1991-2025,
115,EGYPT,EGY,43.16,87.69,74.52,2,1991-2025,
116,ERITREA,ERI,39.66,77.75,68.7,2,1991-2025,
117,ETHIOPIA,ETH,38.79,80.89,70.9,2,1991-2025,
118,FIJI,FJI,45.33,67.69,62.67,2,1991-2025,
119,GABON,GAB,35.13,68.92,59.44,2,1991-2025,
120,GHANA,GHA,44.2,79.25,67.57,2,1991-2025,
121,GUINEA,GIN,40.3,78.18,65.65,2,1991-2025,
122,GUINEA-BISSAU,GNB,33.47,63.22,52.88,2,1991-2025,
123,GRENADA,GRD,42.33,70.72,62.38,2,1991-2025,
124,GUATEMALA,GTM,58.03,75.13,68.31,2,1991-2025,
125,GUYANA,GUY,50.79,84.69,73.62,2,1991-2025,
126,HAITI,HTI,49.63,68.86,61.13,2,1991-2025,
127,INDONESIA,IDN,42.97,87.78,73.6,2,1991-2025,
128,INDIA,IND,40.55,83.84,73.56,2,1991-2025,
129,IRAN (ISLAMIC REPUBLIC OF),IRN,36.69,83.57,70.73,2,1991-2025,
130,JAMAICA,JAM,51.26,83.67,74.3,2,1991-2025,
131,JORDAN,JOR,43.94,86.15,71.03,2,1991-2025,
132,KAZAKHSTAN,KAZ,54.03,77.86,77.51,2,1991-2025,
133,KENYA,KEN,40.23,80.75,68.87,2,1991-2025,
134,KYRGYZSTAN,KGZ,38.59,68.28,65.02,2,1991-2025,
135,CAMBODIA,KHM,39.87,76.42,66.77,2,1991-2025,
136,KUWAIT,KWT,47.94,86.88,73.65,2,1991-2025,
137,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,31.97,85.5,70.25,2,1991-2025,
138,LEBANON,LBN,39.1,84.37,69.28,2,1991-2025,
139,LIBYA,LBY,41.02,86.33,72.03,2,1991-2025,
140,SAINT LUCIA,LCA,45.68,79.72,69.02,2,1991-2025,
141,SRI LANKA,LKA,44.62,88.1,73.92,2,1991-2025,
142,LESOTHO,LSO,36.71,71.42,62.18,2,1991-2025,
143,MOROCCO,MAR,48.76,86.33,71.49,2,1991-2025,
144,MADAGASCAR,MDG,40.92,68.01,58.39,2,1991-2025,
145,MALDIVES,MDV,53.87,85.04,72.54,2,1991-2025,
146,MEXICO,MEX,54.3,81.86,71.6,2,1991-2025,
147,MALI,MLI,39.09,84.83,71.45,2,1991-2025,
148,MYANMAR,MMR,45.49,82.62,69.16,2,1991-2025,
149,MONGOLIA,MNG,47.9,81.45,73.07,2,1991-2025,
150,MOZAMBIQUE,MOZ,40.29,81.4,68.94,2,1991-2025,
151,MAURITANIA,MRT,36.08,78.99,65.25,2,1991-2025,
152,MAURITIUS,MUS,48.26,82.16,71.9,2,1991-2025,
153,MALAWI,MWI,45.64,64.01,56.37,2,1991-2025,
154,MALAYSIA,MYS,46.81,87.86,73.61,2,1991-2025,
155,NAMIBIA,NAM,38.92,82.72,69.11,2,1991-2025,
156,NIGER,NER,35.09,67.72,56.37,2,1991-2025,
157,NIGERIA,NGA,43.55,83.01,70.21,2,1991-2025,
158,NICARAGUA,NIC,44.67,78.94,71.17,2,1991-2025,
159,NEPAL,NPL,47.74,84.77,73.41,2,1991-2025,
160,OMAN,OMN,44.12,86.88,73.05,2,1991-2025,
161,PAKISTAN,PAK,42.74,89.8,75.34,2,1991-2025,
162,PANAMA,PAN,59.01,77.54,70.26,2,1991-2025,
163,PERU,PER,56.39,80.98,74.55,2,1991-2025,
164,PHILIPPINES,PHL,48.44,85.71,73.69,2,1991-2025,
165,PAPUA NEW GUINEA,PNG,51.8,64.42,58.27,2,1991-2025,
166,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,17.16,79.97,67.09,2,1991-2025,
167,PARAGUAY,PRY,56.35,75.87,68.66,2,1991-2025,
168,QATAR,QAT,46.16,87.33,73.3,2,1991-2025,
169,RUSSIAN FEDERATION,RUS,54.58,76.01,100.0,2,1991-2025,
170,SAUDI ARABIA,SAU,45.93,85.25,73.11,2,1991-2025,
171,SUDAN,SDN,39.98,85.63,72.06,2,1991-2025,
172,SENEGAL,SEN,46.82,85.17,71.47,2,1991-2025,
173,SINGAPORE,SGP,48.95,85.1,72.99,2,1991-2025,
174,SOLOMON ISLANDS,SLB,50.21,65.56,61.99,2,1991-2025,
175,SIERRA LEONE,SLE,41.8,70.09,60.37,2,1991-2025,
176,EL SALVADOR,SLV,52.2,77.54,68.4,2,1991-2025,
177,SURINAME,SUR,44.54,77.25,66.45,2,1991-2025,
178,SYRIAN ARAB REPUBLIC,SYR,28.5,83.24,69.86,2,1991-2025,
179,TOGO,TGO,46.65,79.9,68.58,2,1991-2025,
180,THAILAND,THA,48.06,85.54,75.19,2,1991-2025,
181,TAJIKISTAN,TJK,38.33,65.84,64.9,2,1991-2025,
182,TIMOR-LESTE,TLS,47.52,72.43,68.29,2,1991-2025,
183,TRINIDAD AND TOBAGO,TTO,48.16,80.8,69.68,2,1991-2025,
184,TUNISIA,TUN,43.98,86.97,71.66,2,1991-2025,
185,UNITED REPUBLIC OF TANZANIA,TZA,39.96,81.47,67.6,2,1991-2025,
186,UGANDA,UGA,36.43,72.89,62.17,2,1991-2025,
187,URUGUAY,URY,56.71,79.0,73.03,2,1991-2025,
188,UZBEKISTAN,UZB,38.75,57.77,58.16,2,1991-2025,
189,SAINT VINCENT AND THE GRENADINES,VCT,40.29,68.48,61.09,2,1991-2025,
190,VENEZUELA,VEN,34.47,75.98,66.04,2,1991-2025,
191,VIET NAM,VNM,38.64,86.04,71.73,2,1991-2025,
192,YEMEN,YEM,41.07,85.13,70.81,2,1991-2025,
193,SOUTH AFRICA,ZAF,44.99,79.68,73.01,2,1991-2025,
194,ZAMBIA,ZMB,43.81,80.3,68.56,2,1991-2025,
195,ZIMBABWE,ZWE,38.56,83.46,71.35,2,1991-2025,
0,AFGHANISTAN,AFG,35.12,71.28,,0,1946-1991,84.64
1,ANGOLA,AGO,17.42,72.49,,0,1946-1991,78.99
2,ALBANIA,ALB,14.8,61.22,,0,1946-1991,58.13
3,UNITED ARAB EMIRATES,ARE,35.93,77.36,,0,1946-1991,83.59
4,ARGENTINA,ARG,47.41,73.82,,0,1946-1991,78.05
5,ANTIGUA AND BARBUDA,ATG,24.04,58.73,,0,1946-1991,62.57
6,BURUNDI,BDI,37.87,76.41,,0,1946-1991,83.72
7,BENIN,BEN,31.99,73.71,,0,1946-1991,81.41
8,UPPER VOLTA,BFA,36.44,73.29,,0,1946-1991,78.75
9,BANGLADESH,BGD,35.56,79.15,,0,1946-1991,82.22
10,BULGARIA,BGR,33.03,70.94,,0,1946-1991,96.67
11,BAHRAIN,BHR,36.18,77.75,,0,1946-1991,83.31
12,BAHAMAS,BHS,33.0,71.87,,0,1946-1991,70.5
13,BYELORUSSIAN SSR,BLR,33.16,71.82,,0,1946-1991,98.64
14,BOLIVIA,BOL,43.94,71.9,,0,1946-1991,72.6
15,BRAZIL,BRA,50.18,76.35,,0,1946-1991,75.47
16,BARBADOS,BRB,37.47,71.93,,0,1946-1991,74.99
17,BRUNEI DARUSSALAM,BRN,31.44,86.75,,0,1946-1991,84.32
18,BHUTAN,BTN,34.04,75.83,,0,1946-1991,79.93
19,BOTSWANA,BWA,31.26,70.94,,0,1946-1991,73.96
20,CENTRAL AFRICAN REPUBLIC,CAF,38.78,65.72,,0,1946-1991,68.45
21,CHILE,CHL,50.97,69.21,,0,1946-1991,68.95
22,CHINA,CHN,40.45,100.0,,0,1946-1991,71.77
23,IVORY COAST,CIV,44.52,67.44,,0,1946-1991,68.54
24,CAMEROON,CMR,40.64,72.87,,0,1946-1991,77.52
25,ZAIRE,COD,41.35,68.88,,0,1946-1991,71.4
26,CONGO,COG,30.97,69.76,,0,1946-1991,77.9
27,COLOMBIA,COL,47.37,72.97,,0,1946-1991,73.38
28,CAPE VERDE,CPV,23.37,73.96,,0,1946-1991,79.31
29,CZECHOSLOVAKIA,CSK,34.01,70.24,,0,1946-1991,96.75
30,CUBA,CUB,35.91,73.99,,0,1946-1991,87.38
31,CYPRUS,CYP,37.73,73.44,,0,1946-1991,83.54
32,GERMAN DEMOCRATIC REPUBLIC,DDR,27.31,75.77,,0,1946-1991,99.3
33,DJIBOUTI,DJI,29.06,78.03,,0,1946-1991,77.42
34,ALGERIA,DZA,29.62,75.8,,0,1946-1991,86.05
35,TANGANYIKA,EAT,40.43,60.38,,0,1946-1991,74.19
36,ECUADOR,ECU,45.91,73.95,,0,1946-1991,76.9
37,EGYPT,EGY,41.56,75.3,,0,1946-1991,80.98
38,ETHIOPIA,ETH,40.09,75.06,,0,1946-1991,83.61
39,FIJI,FJI,37.63,68.69,,0,1946-1991,71.42
40,GABON,GAB,37.58,73.04,,0,1946-1991,73.83
41,GHANA,GHA,39.6,73.53,,0,1946-1991,81.41
42,GUINEA,GIN,33.59,73.56,,0,1946-1991,81.63
43,GAMBIA,GMB,25.93,62.6,,0,1946-1991,61.15
44,GUINEA-BISSAU,GNB,27.36,71.54,,0,1946-1991,76.83
45,GUYANA,GUY,36.7,75.24,,0,1946-1991,82.77
46,HUNGARY,HUN,32.31,69.91,,0,1946-1991,95.84
47,INDONESIA,IDN,40.82,75.26,,0,1946-1991,84.08
48,INDIA,IND,41.36,74.43,,0,1946-1991,82.46
49,IRAN (ISLAMIC REPUBLIC OF),IRN,42.87,74.22,,0,1946-1991,79.7
50,IRAQ,IRQ,36.02,75.78,,0,1946-1991,82.67
51,JAMAICA,JAM,39.5,72.31,,0,1946-1991,75.63
52,JORDAN,JOR,39.29,75.24,,0,1946-1991,80.59
53,KENYA,KEN,37.86,74.81,,0,1946-1991,81.27
54,DEMOCRATIC KAMPUCHEA,KHM,29.09,67.81,,0,1946-1991,60.21
55,KUWAIT,KWT,34.9,75.86,,0,1946-1991,82.32
56,LAOS,LAO,33.96,71.27,,0,1946-1991,83.6
57,LEBANON,LBN,39.66,70.26,,0,1946-1991,74.2
58,LIBERIA,LBR,46.73,68.96,,0,1946-1991,69.27
59,LIBYAN ARAB JAMAHIRIYA,LBY,32.37,75.14,,0,1946-1991,82.46
60,SAINT LUCIA,LCA,27.98,63.08,,0,1946-1991,63.25
61,SRI LANKA,LKA,39.05,75.52,,0,1946-1991,81.11
62,LESOTHO,LSO,36.16,69.18,,0,1946-1991,72.97
63,MOROCCO,MAR,39.64,75.76,,0,1946-1991,78.42
64,MADAGASCAR,MDG,36.64,75.46,,0,1946-1991,83.98
65,MALDIVE ISLANDS,MDV,28.47,72.71,,0,1946-1991,71.56
66,MEXICO,MEX,46.71,76.2,,0,1946-1991,81.6
67,MALI,MLI,35.23,74.51,,0,1946-1991,83.74
68,MALTA,MLT,36.63,68.13,,0,1946-1991,72.1
69,BURMA,MMR,40.35,72.26,,0,1946-1991,75.84
70,MONGOLIA,MNG,30.29,72.72,,0,1946-1991,96.54
71,MOZAMBIQUE,MOZ,22.52,75.96,,0,1946-1991,85.21
72,MAURITANIA,MRT,38.67,75.39,,0,1946-1991,81.23
73,MAURITIUS,MUS,32.54,70.7,,0,1946-1991,73.32
74,MALAYSIA,MYS,44.04,79.04,,0,1946-1991,81.96
75,NAMIBIA,NAM,34.48,89.24,,0,1946-1991,74.05
76,NIGER,NER,40.12,75.43,,0,1946-1991,77.96
77,NIGERIA,NGA,37.69,75.49,,0,1946-1991,81.43
78,NICARAGUA,NIC,41.95,70.17,,0,1946-1991,73.52
79,NEPAL,NPL,40.99,73.56,,0,1946-1991,78.2
80,OMAN,OMN,36.5,78.11,,0,1946-1991,79.69
81,PAKISTAN,PAK,45.48,77.1,,0,1946-1991,81.03
82,PANAMA,PAN,46.05,69.82,,0,1946-1991,72.2
83,PERU,PER,47.33,75.69,,0,1946-1991,78.47
84,PHILIPPINES,PHL,49.28,77.94,,0,1946-1991,79.53
85,PAPUA NEW GUINEA,PNG,35.5,69.85,,0,1946-1991,73.72
86,POLAND,POL,35.44,70.25,,0,1946-1991,95.21
87,QATAR,QAT,35.95,76.61,,0,1946-1991,81.43
88,ROMANIA,ROU,37.06,72.7,,0,1946-1991,85.7
89,RWANDA,RWA,39.4,73.7,,0,1946-1991,79.3
90,SAUDI ARABIA,SAU,37.39,73.15,,0,1946-1991,78.13
91,SUDAN,SDN,37.64,74.71,,0,1946-1991,80.01
92,SENEGAL,SEN,41.43,76.66,,0,1946-1991,81.56
93,SINGAPORE,SGP,40.92,72.75,,0,1946-1991,74.05
94,SIERRA LEONE,SLE,38.13,74.81,,0,1946-1991,78.87
95,SOMALIA,SOM,37.51,73.68,,0,1946-1991,76.19
96,SAO TOME AND PRINCIPE,STP,22.76,73.32,,0,1946-1991,78.99
97,USSR,SUN,33.99,71.77,,0,1946-1991,100.0
98,SURINAME,SUR,34.13,75.28,,0,1946-1991,77.08
99,SWAZILAND,SWZ,35.9,61.89,,0,1946-1991,63.81
100,SEYCHELLES,SYC,12.07,55.71,,0,1946-1991,59.34
101,SYRIA,SYR,34.55,75.12,,0,1946-1991,83.61
102,CHAD,TCD,39.37,73.59,,0,1946-1991,76.69
103,TOGO,TGO,41.11,75.65,,0,1946-1991,81.76
104,THAILAND,THA,47.86,76.28,,0,1946-1991,77.64
105,TRINIDAD AND TOBAGO,TTO,38.99,76.7,,0,1946-1991,80.04
106,TUNISIA,TUN,41.94,76.12,,0,1946-1991,83.1
107,TURKEY,TUR,55.92,72.7,,0,1946-1991,70.2
108,UNITED REPUBLIC OF TANZANIA,TZA,34.51,75.93,,0,1946-1991,84.07
109,UGANDA,UGA,35.15,74.07,,0,1946-1991,82.46
110,UKRAINIAN SSR,UKR,33.24,72.23,,0,1946-1991,98.56
111,URUGUAY,URY,51.18,71.5,,0,1946-1991,71.95
112,VENEZUELA,VEN,47.22,74.56,,0,1946-1991,78.78
113,VIET NAM,VNM,19.21,77.53,,0,1946-1991,90.74
114,VANUATU,VUT,23.24,64.38,,0,1946-1991,70.63
115,SAMOA,WSM,34.02,65.13,,0,1946-1991,62.63
116,YEMEN,YEM,32.49,70.45,,0,1946-1991,78.46
117,DEMOCRATIC YEMEN,YMD,29.76,75.03,,0,1946-1991,86.46
118,YUGOSLAVIA,YUG,39.84,74.51,,0,1946-1991,86.14
119,ZAMBIA,ZMB,36.74,76.86,,0,1946-1991,83.47
120,ZIMBABWE,ZWE,23.62,74.14,,0,1946-1991,78.25
121,DOMINICA,DMA,12.37,24.12,,1,1946-1991,19.91
122,ZANZIBAR,EAZ,0.0,0.0,,1,1946-1991,0.0
123,UNION OF SOUTH AFRICA,ZAF,20.23,17.57,,1,1946-1991,6.17
124,AUSTRALIA,AUS,63.6,55.46,,2,1946-1991,54.56
125,AUSTRIA,AUT,59.48,54.3,,2,1946-1991,57.0
126,BELGIUM,BEL,73.95,46.73,,2,1946-1991,44.17
127,BELIZE,BLZ,22.09,52.31,,2,1946-1991,52.54
128,CANADA,CAN,71.85,50.16,,2,1946-1991,45.67
129,COMOROS,COM,23.04,58.6,,2,1946-1991,56.1
130,COSTA RICA,CRI,47.1,65.58,,2,1946-1991,65.16
131,GERMANY,DEU,62.71,51.16,,2,1946-1991,56.92
132,DENMARK,DNK,66.43,53.35,,2,1946-1991,52.25
133,DOMINICAN REPUBLIC,DOM,47.0,65.77,,2,1946-1991,64.8
134,SPAIN,ESP,59.45,58.0,,2,1946-1991,57.71
135,ESTONIA,EST,50.0,42.65,,2,1946-1991,54.41
136,FINLAND,FIN,53.33,53.92,,2,1946-1991,60.27
137,FRANCE,FRA,72.81,42.07,,2,1946-1991,41.14
138,MICRONESIA (FEDERATED STATES OF),FSM,35.71,62.16,,2,1946-1991,54.79
139,UNITED KINGDOM,GBR,81.6,42.67,,2,1946-1991,39.03
140,"GERMANY, FEDERAL REPUBLIC OF",GER,75.0,37.57,,2,1946-1991,36.7
141,EQUATORIAL GUINEA,GNQ,25.29,52.75,,2,1946-1991,51.73
142,GREECE,GRC,58.84,64.02,,2,1946-1991,66.18
143,GRENADA,GRD,26.04,53.68,,2,1946-1991,52.74
144,GUATEMALA,GTM,48.79,61.4,,2,1946-1991,59.83
145,HONDURAS,HND,46.04,66.93,,2,1946-1991,64.18
146,HAITI,HTI,40.16,63.61,,2,1946-1991,62.72
147,IRELAND,IRL,61.36,54.86,,2,1946-1991,54.91
148,ICELAND,ISL,60.25,55.14,,2,1946-1991,52.55
149,ISRAEL,ISR,63.38,41.26,,2,1946-1991,36.03
150,ITALY,ITA,71.88,46.68,,2,1946-1991,46.13
151,JAPAN,JPN,63.48,52.22,,2,1946-1991,50.41
152,SAINT CHRISTOPHER AND NEVIS,KNA,20.09,40.61,,2,1946-1991,40.42
153,REPUBLIC OF KOREA,KOR,46.43,68.49,,2,1946-1991,60.27
154,LIECHTENSTEIN,LIE,40.68,49.34,,2,1946-1991,57.52
155,LITHUANIA,LTU,53.57,52.24,,2,1946-1991,62.69
156,LUXEMBOURG,LUX,71.45,47.29,,2,1946-1991,43.78
157,LATVIA,LVA,50.0,45.45,,2,1946-1991,50.0
158,MARSHALL ISLANDS,MHL,53.57,55.41,,2,1946-1991,60.27
159,MALAWI,MWI,41.42,52.68,,2,1946-1991,51.83
160,NETHERLANDS,NLD,71.54,50.37,,2,1946-1991,46.07
161,NORWAY,NOR,63.83,55.01,,2,1946-1991,54.92
162,NEW ZEALAND,NZL,63.98,56.22,,2,1946-1991,54.61
163,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,30.77,77.78,,2,1946-1991,47.89
164,PORTUGAL,PRT,59.25,50.57,,2,1946-1991,49.88
165,PARAGUAY,PRY,47.29,56.3,,2,1946-1991,51.0
166,SOLOMON ISLANDS,SLB,19.1,48.95,,2,1946-1991,46.63
167,EL SALVADOR,SLV,45.13,63.71,,2,1946-1991,62.51
168,SWEDEN,SWE,60.01,55.83,,2,1946-1991,57.63
169,UNITED STATES,USA,100.0,40.45,,2,1946-1991,33.99
170,SAINT VINCENT AND THE GRENADINES,VCT,20.86,53.31,,2,1946-1991,51.53
