"country_code","name","agreements_w_usa","pct_agreement_w_usa","agreements_w_china","pct_agreement_w_china","agreements_w_cccp","pct_agreement_w_cccp"
"AFG","AFGHANISTAN","556","35.12","1943","71.28","2100","84.64"
"AGO","ANGOLA","159","17.42","1407","72.49","1414","78.99"
"ALB","ALBANIA","201","14.80","1547","61.22","1358","58.13"
"ARE","UNITED ARAB EMIRATES","438","35.93","1780","77.36","1767","83.59"
"ARG","ARGENTINA","786","47.41","2067","73.82","1927","78.05"
"ATG","ANTIGUA AND BARBUDA","138","24.04","844","58.73","829","62.57"
"AUS","AUSTRALIA","1050","63.60","1397","55.46","1196","54.56"
"AUT","AUSTRIA","919","59.48","1415","54.30","1331","57.00"
"BDI","BURUNDI","529","37.87","1940","76.41","1944","83.72"
"BEL","BELGIUM","1215","73.95","1107","46.73","909","44.17"
"BEN","BENIN","462","31.99","1904","73.71","1914","81.41"
"BEN","DAHOMEY","462","31.99","1904","73.71","1914","81.41"
"BFA","UPPER VOLTA","531","36.44","1902","73.29","1857","78.75"
"BFA","BURKINA FASO","531","36.44","1902","73.29","1857","78.75"
"BGD","BANGLADESH","372","35.56","1655","79.15","1568","82.22"
"BGR","BULGARIA","429","33.03","1677","70.94","2324","96.67"
"BHR","BAHRAIN","449","36.18","1810","77.75","1782","83.31"
"BHS","BAHAMAS","368","33.00","1569","71.87","1410","70.50"
"BLR","BYELORUSSIAN SSR","453","33.16","1761","71.82","2464","98.64"
"BLR","BELARUS","453","33.16","1761","71.82","2464","98.64"
"BLZ","BELIZE","127","22.09","759","52.31","703","52.54"
"BOL","BOLIVIA","733","43.94","2009","71.90","1786","72.60"
"BRA","BRAZIL","828","50.18","2121","76.35","1846","75.47"
"BRB","BARBADOS","504","37.47","1768","71.93","1688","74.99"
"BRN","BRUNEI DARUSSALAM","122","31.44","877","86.75","812","84.32"
"BTN","BHUTAN","418","34.04","1760","75.83","1705","79.93"
"BWA","BOTSWANA","423","31.26","1760","70.94","1681","73.96"
"CAF","CENTRAL AFRICAN REPUBLIC","565","38.78","1704","65.72","1612","68.45"
"CAF","CENTRAL AFRICAN EMPIRE","565","38.78","1704","65.72","1612","68.45"
"CAN","CANADA","1192","71.85","1217","50.16","959","45.67"
"CHL","CHILE","844","50.97","1920","69.21","1683","68.95"
"CHN","CHINA","663","40.45","2833","100.00","1757","71.77"
"CIV","IVORY COAST","650","44.52","1750","67.44","1614","68.54"
"CIV","CÃ”TE D'IVOIRE","650","44.52","1750","67.44","1614","68.54"
"CMR","CAMEROON","593","40.64","1894","72.87","1828","77.52"
"CMR","UNITED REPUBLIC OF CAMEROON","593","40.64","1894","72.87","1828","77.52"
"COD","ZAIRE","602","41.35","1782","68.88","1675","71.40"
"COD","CONGO (DEMOCRATIC REPUBLIC OF)","602","41.35","1782","68.88","1675","71.40"
"COD","CONGO (LEOPOLDVILLE)","602","41.35","1782","68.88","1675","71.40"
"COG","CONGO","441","30.97","1790","69.76","1840","77.90"
"COG","CONGO (BRAZZAVILLE)","441","30.97","1790","69.76","1840","77.90"
"COL","COLOMBIA","793","47.37","2054","72.97","1819","73.38"
"COM","COMOROS","232","23.04","1203","58.60","1049","56.10"
"CPV","CAPE VERDE","236","23.37","1525","73.96","1491","79.31"
"CRI","COSTA RICA","779","47.10","1804","65.58","1573","65.16"
"CSK","CZECHOSLOVAKIA","468","34.01","1723","70.24","2408","96.75"
"CUB","CUBA","548","35.91","1980","73.99","2168","87.38"
"CYP","CYPRUS","552","37.73","1911","73.44","1975","83.54"
"DDR","GERMAN DEMOCRATIC REPUBLIC","248","27.31","1376","75.77","1831","99.30"
"DEU","GERMANY","37","62.71","66","51.16","74","56.92"
"DJI","DJIBOUTI","261","29.06","1492","78.03","1344","77.42"
"DMA","DOMINICA","96","12.37","424","24.12","316","19.91"
"DNK","DENMARK","1100","66.43","1368","53.35","1175","52.25"
"DOM","DOMINICAN REPUBLIC","783","47.00","1831","65.77","1587","64.80"
"DZA","ALGERIA","407","29.62","1908","75.80","1992","86.05"
"EAT","TANGANYIKA","19","40.43","32","60.38","23","74.19"
"EAZ","ZANZIBAR","0","0.00","0","0.00","0","0.00"
"ECU","ECUADOR","769","45.91","2084","73.95","1911","76.90"
"EGY","EGYPT","682","41.56","2097","75.30","2005","80.98"
"EGY","UNITED ARAB REPUBLIC","682","41.56","2097","75.30","2005","80.98"
"ESP","SPAIN","912","59.45","1482","58.00","1317","57.71"
"EST","ESTONIA","14","50.00","29","42.65","37","54.41"
"ETH","ETHIOPIA","649","40.09","2080","75.06","2082","83.61"
"FIN","FINLAND","817","53.33","1388","53.92","1394","60.27"
"FJI","FIJI","479","37.63","1628","68.69","1554","71.42"
"FRA","FRANCE","1162","72.81","965","42.07","817","41.14"
"FSM","MICRONESIA (FEDERATED STATES OF)","10","35.71","46","62.16","40","54.79"
"GAB","GABON","546","37.58","1891","73.04","1732","73.83"
"GBR","UNITED KINGDOM","1330","81.60","925","42.67","728","39.03"
"GER","GERMANY, FEDERAL REPUBLIC OF","786","75.00","618","37.57","548","36.70"
"GHA","GHANA","594","39.60","1939","73.53","1945","81.41"
"GIN","GUINEA","488","33.59","1909","73.56","1937","81.63"
"GMB","GAMBIA","356","25.93","1565","62.60","1399","61.15"
"GNB","GUINEA-BISSAU","287","27.36","1511","71.54","1482","76.83"
"GNQ","EQUATORIAL GUINEA","329","25.29","1277","52.75","1149","51.73"
"GRC","GREECE","985","58.84","1779","64.02","1618","66.18"
"GRD","GRENADA","268","26.04","1115","53.68","1009","52.74"
"GTM","GUATEMALA","805","48.79","1689","61.40","1448","59.83"
"GUY","GUYANA","494","36.70","1863","75.24","1883","82.77"
"HND","HONDURAS","767","46.04","1858","66.93","1566","64.18"
"HTI","HAITI","673","40.16","1778","63.61","1543","62.72"
"HUN","HUNGARY","420","32.31","1654","69.91","2304","95.84"
"IDN","INDONESIA","640","40.82","2026","75.26","2023","84.08"
"IND","INDIA","668","41.36","2055","74.43","2031","82.46"
"IRL","IRELAND","945","61.36","1394","54.86","1247","54.91"
"IRN","IRAN (ISLAMIC REPUBLIC OF)","712","42.87","2084","74.22","1971","79.70"
"IRN","IRAN","712","42.87","2084","74.22","1971","79.70"
"IRQ","IRAQ","581","36.02","2093","75.78","2037","82.67"
"ISL","ICELAND","1005","60.25","1428","55.14","1187","52.55"
"ISR","ISRAEL","950","63.38","845","41.26","636","36.03"
"ITA","ITALY","1107","71.88","1091","46.68","959","46.13"
"JAM","JAMAICA","555","39.50","1838","72.31","1753","75.63"
"JOR","JORDAN","605","39.29","2012","75.24","1935","80.59"
"JPN","JAPAN","970","63.48","1281","52.22","1113","50.41"
"KEN","KENYA","521","37.86","1877","74.81","1870","81.27"
"KHM","DEMOCRATIC KAMPUCHEA","446","29.09","1812","67.81","1451","60.21"
"KHM","KHMER REPUBLIC","446","29.09","1812","67.81","1451","60.21"
"KHM","CAMBODIA","446","29.09","1812","67.81","1451","60.21"
"KNA","SAINT CHRISTOPHER AND NEVIS","91","20.09","469","40.61","439","40.42"
"KNA","SAINT KITTS AND NEVIS","91","20.09","469","40.61","439","40.42"
"KOR","REPUBLIC OF KOREA","13","46.43","50","68.49","44","60.27"
"KWT","KUWAIT","483","34.90","1911","75.86","1895","82.32"
"LAO","LAOS","505","33.96","1870","71.27","2018","83.60"
"LAO","LAO PEOPLE'S DEMOCRATIC REPUBLIC","505","33.96","1870","71.27","2018","83.60"
"LAO","LAO PEOPLE's DEMOCRATIC REPUBLIC","505","33.96","1870","71.27","2018","83.60"
"LBN","LEBANON","658","39.66","1970","70.26","1835","74.20"
"LBR","LIBERIA","779","46.73","1933","68.96","1713","69.27"
"LBY","LIBYAN ARAB JAMAHIRIYA","483","32.37","1980","75.14","1974","82.46"
"LBY","LIBYA","483","32.37","1980","75.14","1974","82.46"
"LBY","LIBYAN ARAB REPUBLIC","483","32.37","1980","75.14","1974","82.46"
"LCA","SAINT LUCIA","204","27.98","1066","63.08","969","63.25"
"LIE","LIECHTENSTEIN","24","40.68","75","49.34","88","57.52"
"LKA","SRI LANKA","594","39.05","2011","75.52","1949","81.11"
"LKA","CEYLON","594","39.05","2011","75.52","1949","81.11"
"LSO","LESOTHO","490","36.16","1713","69.18","1655","72.97"
"LTU","LITHUANIA","15","53.57","35","52.24","42","62.69"
"LUX","LUXEMBOURG","1184","71.45","1135","47.29","912","43.78"
"LVA","LATVIA","14","50.00","30","45.45","33","50.00"
"MAR","MOROCCO","597","39.64","1991","75.76","1861","78.42"
"MDG","MADAGASCAR","528","36.64","1946","75.46","1976","83.98"
"MDV","MALDIVE ISLANDS","392","28.47","1820","72.71","1638","71.56"
"MDV","MALDIVES","392","28.47","1820","72.71","1638","71.56"
"MEX","MEXICO","782","46.71","2151","76.20","2035","81.60"
"MHL","MARSHALL ISLANDS","15","53.57","41","55.41","44","60.27"
"MLI","MALI","507","35.23","1923","74.51","1978","83.74"
"MLT","MALTA","504","36.63","1708","68.13","1654","72.10"
"MMR","BURMA","654","40.35","2003","72.26","1880","75.84"
"MMR","MYANMAR","654","40.35","2003","72.26","1880","75.84"
"MNG","MONGOLIA","372","30.29","1685","72.72","2258","96.54"
"MOZ","MOZAMBIQUE","222","22.52","1548","75.96","1602","85.21"
"MRT","MAURITANIA","546","38.67","1924","75.39","1891","81.23"
"MUS","MAURITIUS","424","32.54","1713","70.70","1627","73.32"
"MWI","MALAWI","567","41.42","1309","52.68","1178","51.83"
"MYS","MALAYSIA","661","44.04","2081","79.04","1944","81.96"
"MYS","FEDERATION OF MALAYA","661","44.04","2081","79.04","1944","81.96"
"NAM","NAMIBIA","20","34.48","141","89.24","117","74.05"
"NER","NIGER","583","40.12","1956","75.43","1836","77.96"
"NGA","NIGERIA","548","37.69","1959","75.49","1925","81.43"
"NIC","NICARAGUA","688","41.95","1922","70.17","1777","73.52"
"NLD","NETHERLANDS","1189","71.54","1226","50.37","972","46.07"
"NOR","NORWAY","1057","63.83","1411","55.01","1234","54.92"
"NPL","NEPAL","628","40.99","1967","73.56","1887","78.20"
"NZL","NEW ZEALAND","1062","63.98","1442","56.22","1219","54.61"
"OMN","OMAN","450","36.50","1809","78.11","1695","79.69"
"PAK","PAKISTAN","739","45.48","2131","77.10","1986","81.03"
"PAN","PANAMA","769","46.05","1964","69.82","1792","72.20"
"PER","PERU","790","47.33","2133","75.69","1950","78.47"
"PHL","PHILIPPINES","824","49.28","2187","77.94","1966","79.53"
"PHL","PHILIPPINE REPUBLIC","824","49.28","2187","77.94","1966","79.53"
"PNG","PAPUA NEW GUINEA","360","35.50","1439","69.85","1383","73.72"
"POL","POLAND","488","35.44","1724","70.25","2366","95.21"
"PRK","DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA","8","30.77","56","77.78","34","47.89"
"PRT","PORTUGAL","858","59.25","1150","50.57","999","49.88"
"PRY","PARAGUAY","784","47.29","1563","56.30","1244","51.00"
"QAT","QATAR","445","35.95","1779","76.61","1737","81.43"
"ROU","ROMANIA","527","37.06","1853","72.70","2056","85.70"
"RWA","RWANDA","554","39.40","1875","73.70","1839","79.30"
"SAU","SAUDI ARABIA","617","37.39","2041","73.15","1926","78.13"
"SDN","SUDAN","565","37.64","1973","74.71","1913","80.01"
"SEN","SENEGAL","602","41.43","1987","76.66","1920","81.56"
"SGP","SINGAPORE","561","40.92","1815","72.75","1695","74.05"
"SLB","SOLOMON ISLANDS","157","19.10","889","48.95","768","46.63"
"SLE","SIERRA LEONE","543","38.13","1919","74.81","1840","78.87"
"SLV","EL SALVADOR","750","45.13","1761","63.71","1519","62.51"
"SOM","SOMALIA","542","37.51","1906","73.68","1795","76.19"
"STP","SAO TOME AND PRINCIPE","229","22.76","1509","73.32","1485","78.99"
"SUN","USSR","463","33.99","1757","71.77","2499","100.00"
"SUR","SURINAME","343","34.13","1538","75.28","1433","77.08"
"SUR","SURINAM","343","34.13","1538","75.28","1433","77.08"
"SWE","SWEDEN","989","60.01","1499","55.83","1364","57.63"
"SWZ","SWAZILAND","471","35.90","1499","61.89","1416","63.81"
"SYC","SEYCHELLES","115","12.07","1108","55.71","1080","59.34"
"SYR","SYRIA","513","34.55","1978","75.12","2010","83.61"
"SYR","SYRIAN ARAB REPUBLIC","513","34.55","1978","75.12","2010","83.61"
"TCD","CHAD","574","39.37","1909","73.59","1806","76.69"
"TGO","TOGO","599","41.11","1964","75.65","1928","81.76"
"THA","THAILAND","793","47.86","2132","76.28","1920","77.64"
"THA","SIAM","793","47.86","2132","76.28","1920","77.64"
"TTO","TRINIDAD AND TOBAGO","549","38.99","1952","76.70","1857","80.04"
"TUN","TUNISIA","640","41.94","2024","76.12","1991","83.10"
"TUR","TURKEY","930","55.92","1941","72.70","1642","70.20"
"TZA","UNITED REPUBLIC OF TANZANIA","468","34.51","1893","75.93","1926","84.07"
"UGA","UGANDA","491","35.15","1880","74.07","1913","82.46"
"UKR","UKRAINIAN SSR","453","33.24","1769","72.23","2462","98.56"
"UKR","UKRAINE","453","33.24","1769","72.23","2462","98.56"
"URY","URUGUAY","845","51.18","1977","71.50","1752","71.95"
"USA","UNITED STATES","1681","100.00","663","40.45","463","33.99"
"VCT","SAINT VINCENT AND THE GRENADINES","136","20.86","837","53.31","741","51.53"
"VEN","VENEZUELA","791","47.22","2104","74.56","1960","78.78"
"VNM","VIET NAM","161","19.21","1432","77.53","1577","90.74"
"VUT","VANUATU","135","23.24","938","64.38","950","70.63"
"WSM","SAMOA","316","34.02","1272","65.13","1108","62.63"
"YEM","YEMEN","526","32.49","1950","70.45","1938","78.46"
"YMD","DEMOCRATIC YEMEN","358","29.76","1671","75.03","1795","86.46"
"YMD","SOUTHERN YEMEN","358","29.76","1671","75.03","1795","86.46"
"YUG","YUGOSLAVIA","637","39.84","2052","74.51","2150","86.14"
"ZAF","UNION OF SOUTH AFRICA","315","20.23","463","17.57","142","6.17"
"ZAF","SOUTH AFRICA","315","20.23","463","17.57","142","6.17"
"ZMB","ZAMBIA","500","36.74","1920","76.86","1919","83.47"
"ZWE","ZIMBABWE","154","23.62","1167","74.14","1130","78.25"
