"country_code","name","agreements_w_usa","pct_agreement_w_usa","agreements_w_china","pct_agreement_w_china","agreements_w_russia","pct_agreement_w_russia"
"AFG","AFGHANISTAN","897","35.94","3672","70.81","3438","72.50"
"AGO","ANGOLA","506","27.25","3239","73.63","2878","70.71"
"ALB","ALBANIA","823","35.61","2705","58.65","2622","60.48"
"AND","ANDORRA","638","69.27","1290","62.17","1382","71.16"
"ARE","UNITED ARAB EMIRATES","855","39.68","3936","82.76","3410","77.69"
"ARG","ARGENTINA","1403","53.80","3902","75.00","3711","78.71"
"ARM","ARMENIA","490","54.63","1727","71.42","1740","76.86"
"ATG","ANTIGUA AND BARBUDA","570","37.38","2725","69.89","2365","65.59"
"AUS","AUSTRALIA","1698","65.26","2560","57.79","2380","59.43"
"AUT","AUSTRIA","1588","63.57","2786","58.73","2804","64.79"
"AZE","AZERBAIJAN","406","43.89","1898","77.25","1669","73.30"
"BDI","BURUNDI","816","35.56","3543","71.04","3236","70.24"
"BEL","BELGIUM","1880","72.45","2401","54.42","2345","58.16"
"BEN","BENIN","839","35.15","3684","73.05","3338","72.06"
"BEN","DAHOMEY","839","35.15","3684","73.05","3338","72.06"
"BFA","UPPER VOLTA","917","38.19","3919","77.54","3424","73.73"
"BFA","BURKINA FASO","917","38.19","3919","77.54","3424","73.73"
"BGD","BANGLADESH","796","40.65","3801","83.52","3219","77.14"
"BGR","BULGARIA","1081","48.02","2970","67.18","3752","85.58"
"BHR","BAHRAIN","876","40.37","3971","82.99","3429","77.81"
"BHS","BAHAMAS","883","42.72","3489","75.11","3020","70.59"
"BIH","BOSNIA AND HERZEGOVINA","530","55.61","1223","55.79","1189","58.03"
"BLR","BELARUS","811","37.29","3668","75.55","4309","90.39"
"BLR","BYELORUSSIAN SSR","811","37.29","3668","75.55","4309","90.39"
"BLZ","BELIZE","593","38.83","2691","68.82","2268","62.74"
"BOL","BOLIVIA","1152","44.86","4000","76.26","3421","72.16"
"BOL","BOLIVIA (PLURINATIONAL STATE OF)","1152","44.86","4000","76.26","3421","72.16"
"BRA","BRAZIL","1325","50.90","4148","79.43","3475","73.70"
"BRB","BARBADOS","997","43.39","3742","76.06","3302","72.91"
"BRN","BRUNEI DARUSSALAM","530","40.93","3057","88.20","2470","76.61"
"BTN","BHUTAN","792","36.50","3649","76.45","3214","72.88"
"BWA","BOTSWANA","884","38.38","3699","74.85","3237","71.14"
"CAF","CENTRAL AFRICAN EMPIRE","808","33.58","2858","56.57","2554","55.02"
"CAF","CENTRAL AFRICAN REPUBLIC","808","33.58","2858","56.57","2554","55.02"
"CAN","CANADA","1878","71.95","2293","54.49","2107","55.80"
"CHE","SWITZERLAND","434","67.18","1026","66.02","1014","71.56"
"CHL","CHILE","1410","54.02","3952","75.75","3315","70.37"
"CHN","CHINA","967","39.66","5296","100.00","3462","73.80"
"CIV","CÔTE D'IVOIRE","1101","45.68","3570","70.67","3074","66.28"
"CIV","IVORY COAST","1101","45.68","3570","70.67","3074","66.28"
"CIV","COTE D'IVOIRE","1101","45.68","3570","70.67","3074","66.28"
"CMR","UNITED REPUBLIC OF CAMEROON","1003","41.60","3502","69.20","3128","67.33"
"CMR","CAMEROON","1003","41.60","3502","69.20","3128","67.33"
"COD","CONGO (DEMOCRATIC REPUBLIC OF)","833","34.84","2738","54.26","2435","52.68"
"COD","ZAIRE","833","34.84","2738","54.26","2435","52.68"
"COD","DEMOCRATIC REPUBLIC OF THE CONGO","833","34.84","2738","54.26","2435","52.68"
"COD","CONGO (LEOPOLDVILLE)","833","34.84","2738","54.26","2435","52.68"
"COG","CONGO (BRAZZAVILLE)","763","32.19","3475","69.13","3174","68.27"
"COG","CONGO","763","32.19","3475","69.13","3174","68.27"
"COL","COLOMBIA","1259","47.94","4054","76.96","3458","72.69"
"COM","COMOROS","498","25.83","2688","59.63","2204","53.15"
"CPV","CAPE VERDE","651","33.15","3413","75.46","2992","71.80"
"CPV","CABO VERDE","651","33.15","3413","75.46","2992","71.80"
"CRI","COSTA RICA","1352","51.86","3702","71.11","3169","67.50"
"CSK","CZECHOSLOVAKIA","487","34.61","1756","69.74","2457","96.09"
"CUB","CUBA","811","34.82","4102","80.31","3791","80.16"
"CYP","CYPRUS","1186","49.11","3467","72.36","3391","77.10"
"CZE","CZECHIA","651","70.76","1239","64.13","1374","73.48"
"CZE","CZECH REPUBLIC","651","70.76","1239","64.13","1374","73.48"
"DDR","GERMAN DEMOCRATIC REPUBLIC","248","27.31","1376","75.77","1831","99.30"
"DEU","GERMANY","709","70.13","1354","63.09","1509","72.65"
"DJI","DJIBOUTI","668","36.50","3570","81.77","2952","73.60"
"DMA","DOMINICA","363","21.01","1531","36.27","1271","32.85"
"DNK","DENMARK","1774","68.02","2686","58.43","2639","62.68"
"DOM","DOMINICAN REPUBLIC","1244","47.48","3580","68.33","3052","64.52"
"DZA","ALGERIA","756","33.27","4089","82.26","3655","79.59"
"EAT","TANGANYIKA","19","40.43","32","60.38","23","74.19"
"EAZ","ZANZIBAR","0","0.00","0","0.00","0","0.00"
"ECU","ECUADOR","1239","47.51","4139","78.45","3593","75.32"
"EGY","UNITED ARAB REPUBLIC","1070","42.13","4248","81.10","3690","77.90"
"EGY","EGYPT","1070","42.13","4248","81.10","3690","77.90"
"ERI","ERITREA","349","39.66","1852","77.75","1523","68.70"
"ESP","SPAIN","1581","63.62","2847","61.52","2815","65.76"
"EST","ESTONIA","677","69.15","1295","60.97","1473","71.78"
"ETH","ETHIOPIA","1014","39.61","4070","77.81","3697","77.54"
"FIN","FINLAND","1493","60.10","2724","58.44","2866","66.82"
"FJI","FIJI","911","40.93","3287","68.18","2981","66.94"
"FRA","FRANCE","1867","73.53","2102","49.91","2113","54.54"
"FSM","MICRONESIA (FEDERATED STATES OF)","701","71.46","685","37.29","794","46.73"
"GAB","GABON","879","36.61","3585","71.03","3089","66.73"
"GBR","UNITED KINGDOM","2051","79.68","2015","51.18","1986","55.09"
"GEO","GEORGIA","599","62.85","1217","55.39","1373","66.94"
"GER","GERMANY, FEDERAL REPUBLIC OF","786","75.00","618","37.57","548","36.70"
"GHA","GHANA","1009","41.37","3891","76.29","3483","74.66"
"GIN","GUINEA","866","36.22","3833","75.81","3439","73.78"
"GMB","GAMBIA","661","28.66","3002","60.50","2548","55.80"
"GNB","GUINEA-BISSAU","606","30.27","3068","67.06","2692","63.84"
"GNQ","EQUATORIAL GUINEA","565","25.16","2229","45.67","1938","43.02"
"GRC","GREECE","1631","62.09","3122","63.98","3073","68.89"
"GRD","GRENADA","671","33.87","2844","62.89","2420","57.96"
"GTM","GUATEMALA","1358","52.17","3514","67.84","2989","63.92"
"GUY","GUYANA","977","42.53","3948","79.95","3563","78.19"
"HND","HONDURAS","1323","50.52","3637","69.70","3043","64.63"
"HRV","CROATIA","643","67.47","1264","60.05","1414","70.56"
"HTI","HAITI","1146","43.59","3472","66.07","2941","61.95"
"HUN","HUNGARY","1085","48.20","2899","66.58","3715","85.66"
"IDN","INDONESIA","1022","41.60","4181","81.23","3682","79.01"
"IND","INDIA","1009","41.08","4052","78.79","3645","78.27"
"IRL","IRELAND","1609","64.51","2793","59.34","2750","64.01"
"IRN","IRAN","1000","40.88","4113","78.55","3542","75.46"
"IRN","IRAN (ISLAMIC REPUBLIC OF)","1000","40.88","4113","78.55","3542","75.46"
"IRQ","IRAQ","849","33.50","3645","69.91","3217","68.08"
"ISL","ICELAND","1674","63.89","2773","59.28","2654","62.42"
"ISR","ISRAEL","1649","69.87","1273","41.70","1166","42.87"
"ITA","ITALY","1774","71.22","2404","54.80","2406","59.28"
"JAM","JAMAICA","1043","44.25","3898","77.90","3444","74.97"
"JOR","JORDAN","1015","41.04","4126","80.46","3548","75.94"
"JPN","JAPAN","1610","64.92","2722","58.40","2646","62.29"
"KAZ","KAZAKHSTAN","496","54.03","1910","77.86","1771","77.51"
"KEN","KENYA","904","38.83","3861","77.75","3443","75.09"
"KGZ","KYRGYZSTAN","355","38.59","1681","68.28","1487","65.02"
"KHM","DEMOCRATIC KAMPUCHEA","812","33.13","3692","71.94","2978","63.40"
"KHM","CAMBODIA","812","33.13","3692","71.94","2978","63.40"
"KHM","KHMER REPUBLIC","812","33.13","3692","71.94","2978","63.40"
"KIR","KIRIBATI","236","32.33","569","28.91","452","25.00"
"KNA","SAINT KITTS AND NEVIS","421","29.96","1664","46.00","1395","41.47"
"KNA","SAINT CHRISTOPHER AND NEVIS","421","29.96","1664","46.00","1395","41.47"
"KOR","REPUBLIC OF KOREA","648","66.06","1463","64.51","1575","72.95"
"KWT","KUWAIT","925","40.11","4044","81.30","3561","78.02"
"LAO","LAO PEOPLE's DEMOCRATIC REPUBLIC","795","33.21","3964","78.14","3619","77.11"
"LAO","LAOS","795","33.21","3964","78.14","3619","77.11"
"LAO","LAO PEOPLE'S DEMOCRATIC REPUBLIC","795","33.21","3964","78.14","3619","77.11"
"LBN","LEBANON","1013","39.46","4037","76.84","3407","71.85"
"LBR","LIBERIA","1130","43.18","3034","57.99","2583","54.60"
"LBY","LIBYAN ARAB REPUBLIC","844","35.58","4089","80.52","3581","77.43"
"LBY","LIBYA","844","35.58","4089","80.52","3581","77.43"
"LBY","LIBYAN ARAB JAMAHIRIYA","844","35.58","4089","80.52","3581","77.43"
"LCA","SAINT LUCIA","638","38.00","3028","72.95","2540","66.70"
"LIE","LIECHTENSTEIN","682","67.32","1450","62.80","1571","72.46"
"LKA","CEYLON","1000","41.14","4173","81.55","3633","77.61"
"LKA","SRI LANKA","1000","41.14","4173","81.55","3633","77.61"
"LSO","LESOTHO","838","36.39","3470","70.30","3074","67.56"
"LTU","LITHUANIA","679","69.50","1289","61.12","1473","72.10"
"LUX","LUXEMBOURG","1854","71.06","2450","55.04","2375","58.44"
"LVA","LATVIA","684","69.87","1270","59.93","1461","71.16"
"MAR","MOROCCO","1049","43.12","4107","80.86","3483","75.03"
"MCO","MONACO","646","70.45","1184","59.26","1323","68.98"
"MDA","REPUBLIC OF MOLDOVA","639","67.12","1291","59.52","1420","70.05"
"MDG","MADAGASCAR","918","38.35","3621","71.82","3312","71.36"
"MDV","MALDIVES","893","38.71","3906","78.81","3281","72.05"
"MDV","MALDIVE ISLANDS","893","38.71","3906","78.81","3281","72.05"
"MEX","MEXICO","1300","49.47","4164","78.83","3671","76.82"
"MHL","MARSHALL ISLANDS","672","68.85","892","47.17","922","53.14"
"MKD","THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA","590","64.06","1248","60.35","1350","69.16"
"MKD","NORTH MACEDONIA","590","64.06","1248","60.35","1350","69.16"
"MLI","MALI","867","36.74","3997","79.53","3612","77.69"
"MLT","MALTA","1167","50.11","3203","68.37","3087","71.31"
"MMR","BURMA","1047","42.13","4024","77.12","3436","72.66"
"MMR","MYANMAR","1047","42.13","4024","77.12","3436","72.66"
"MNE","MONTENEGRO","401","71.10","806","65.00","817","71.35"
"MNG","MONGOLIA","829","37.99","3691","77.22","3929","84.93"
"MOZ","MOZAMBIQUE","606","31.25","3553","78.94","3180","76.28"
"MRT","MAURITANIA","883","37.64","3864","77.16","3376","73.33"
"MUS","MAURITIUS","881","39.16","3730","76.47","3267","72.60"
"MWI","MALAWI","1001","43.15","2883","58.31","2466","54.10"
"MYS","FEDERATION OF MALAYA","1086","45.08","4238","83.29","3609","77.88"
"MYS","MALAYSIA","1086","45.08","4238","83.29","3609","77.88"
"NAM","NAMIBIA","387","38.66","2175","83.11","1692","69.43"
"NER","NIGER","909","38.16","3620","71.68","3120","67.34"
"NGA","NIGERIA","953","39.97","3996","79.14","3516","75.94"
"NIC","NICARAGUA","1057","42.86","3830","74.28","3399","72.38"
"NLD","NETHERLANDS","1856","71.03","2522","56.57","2410","59.37"
"NLD","NETHERLANDS (KINGDOM OF THE)","1856","71.03","2522","56.57","2410","59.37"
"NOR","NORWAY","1723","66.07","2754","59.14","2705","63.75"
"NPL","NEPAL","1082","43.58","4054","78.93","3566","75.87"
"NRU","NAURU","236","33.01","559","32.81","464","29.90"
"NZL","NEW ZEALAND","1696","64.93","2910","61.57","2704","63.65"
"OMN","OMAN","844","39.70","3942","82.62","3346","76.27"
"PAK","PAKISTAN","1116","44.52","4322","83.05","3672","78.31"
"PAN","PANAMA","1332","50.76","3849","73.40","3382","71.28"
"PER","PERU","1328","50.63","4126","78.16","3655","76.59"
"PHL","PHILIPPINE REPUBLIC","1274","48.98","4293","81.57","3649","76.72"
"PHL","PHILIPPINES","1274","48.98","4293","81.57","3649","76.72"
"PLW","PALAU","456","51.94","530","30.06","496","30.83"
"PNG","PAPUA NEW GUINEA","850","43.37","2998","66.92","2687","65.31"
"POL","POLAND","1161","49.89","3008","67.11","3823","85.78"
"PRK","DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA","135","17.62","1940","79.90","1504","66.49"
"PRT","PORTUGAL","1525","63.52","2504","57.50","2487","62.13"
"PRY","PARAGUAY","1321","50.59","3421","65.47","2806","59.52"
"QAT","QATAR","866","40.28","3923","82.12","3390","77.26"
"ROU","ROMANIA","1194","50.29","3135","68.05","3504","79.89"
"RUS","RUSSIAN FEDERATION","417","54.58","1705","76.01","2289","100.00"
"RWA","RWANDA","833","35.42","2984","59.68","2765","60.10"
"SAU","SAUDI ARABIA","1040","40.45","4133","78.81","3576","75.73"
"SCG","SERBIA AND MONTENEGRO","43","71.67","124","66.31","147","78.61"
"SDN","SUDAN","898","38.47","4046","79.93","3520","76.17"
"SEN","SENEGAL","1043","43.55","4083","80.80","3553","76.59"
"SGP","SINGAPORE","1027","44.21","3911","78.88","3357","73.52"
"SLB","SOLOMON ISLANDS","635","35.79","2492","58.48","2177","55.54"
"SLE","SIERRA LEONE","938","39.59","3644","72.50","3217","69.72"
"SLV","EL SALVADOR","1248","47.71","3670","70.23","3084","65.37"
"SMR","SAN MARINO","618","64.78","1294","59.36","1354","66.80"
"SOM","SOMALIA","694","29.16","2878","57.02","2588","55.78"
"SRB","SERBIA","318","58.35","932","68.23","949","77.15"
"SSD","SOUTH SUDAN","114","26.15","316","28.62","287","29.65"
"STP","SAO TOME AND PRINCIPE","387","19.75","2297","50.81","2107","50.54"
"SUN","USSR","463","33.99","1757","71.77","2499","100.00"
"SUR","SURINAM","767","39.19","3440","76.36","2952","71.22"
"SUR","SURINAME","767","39.19","3440","76.36","2952","71.22"
"SVK","SLOVAKIA","646","70.14","1273","64.20","1405","73.44"
"SVN","SLOVENIA","664","69.75","1311","63.06","1454","72.55"
"SWE","SWEDEN","1661","63.86","2882","59.98","2852","65.40"
"SWZ","SWAZILAND","809","35.78","2988","61.22","2608","57.96"
"SWZ","ESWATINI","809","35.78","2988","61.22","2608","57.96"
"SYC","SEYCHELLES","380","19.93","2073","46.57","1865","45.40"
"SYR","SYRIA","727","32.51","3975","78.99","3563","77.00"
"SYR","SYRIAN ARAB REPUBLIC","727","32.51","3975","78.99","3563","77.00"
"TCD","CHAD","864","36.08","3229","63.92","2845","61.47"
"TGO","TOGO","1037","43.28","3928","77.72","3491","75.29"
"THA","THAILAND","1251","47.93","4238","80.62","3638","76.46"
"THA","SIAM","1251","47.93","4238","80.62","3638","76.46"
"TJK","TAJIKISTAN","353","38.33","1619","65.84","1481","64.90"
"TKM","TURKMENISTAN","227","24.73","1337","54.31","1131","49.63"
"TLS","TIMOR-LESTE","307","47.52","1290","72.43","1111","68.29"
"TON","TONGA","270","37.09","907","46.13","777","43.21"
"TTO","TRINIDAD AND TOBAGO","1008","42.69","3942","78.71","3445","74.91"
"TUN","TUNISIA","1049","42.71","4160","81.33","3622","77.53"
"TUR","TÜRKIYE","1499","58.17","3509","73.52","3094","70.91"
"TUR","TURKEY","1499","58.17","3509","73.52","3094","70.91"
"TUR","TÜRKÝYE","1499","58.17","3509","73.52","3094","70.91"
"TUR","TÜRKİYE","1499","58.17","3509","73.52","3094","70.91"
"TUV","TUVALU","296","42.41","877","46.16","746","42.78"
"TZA","UNITED REPUBLIC OF TANZANIA","844","36.74","3898","78.68","3466","75.86"
"UGA","UGANDA","832","35.66","3668","73.49","3323","72.43"
"UKR","UKRAINE","1072","46.45","3191","69.31","3934","86.98"
"UKR","UKRAINIAN SSR","1072","46.45","3191","69.31","3934","86.98"
"URY","URUGUAY","1386","53.21","3918","75.03","3420","72.47"
"USA","UNITED STATES","2635","100.00","967","39.66","880","41.39"
"UZB","UZBEKISTAN","348","38.75","1417","57.77","1326","58.16"
"VCT","SAINT VINCENT AND THE GRENADINES","520","32.40","2523","62.57","2132","57.39"
"VEN","VENEZUELA (BOLIVARIAN REPUBLIC OF)","1085","42.92","3954","75.21","3461","72.69"
"VEN","VENEZUELA","1085","42.92","3954","75.21","3461","72.69"
"VNM","VIET NAM","496","29.09","3540","82.38","3201","79.99"
"VUT","VANUATU","572","37.26","2195","56.08","2009","55.34"
"WSM","SAMOA","846","44.93","2788","63.55","2512","62.27"
"YEM","YEMEN","910","35.63","4039","77.35","3544","74.80"
"YMD","DEMOCRATIC YEMEN","358","29.76","1671","75.03","1795","86.46"
"YMD","SOUTHERN YEMEN","358","29.76","1671","75.03","1795","86.46"
"YUG","YUGOSLAVIA","676","35.08","2166","62.17","2275","70.96"
"ZAF","SOUTH AFRICA","733","29.49","2420","47.53","1806","39.44"
"ZAF","UNION OF SOUTH AFRICA","733","29.49","2420","47.53","1806","39.44"
"ZMB","ZAMBIA","914","39.64","3893","78.57","3480","76.05"
"ZWE","ZIMBABWE","471","31.95","3200","79.80","2746","74.04"
